code,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300557,115.01,1400,5566.85,36303.26,32075.15,2528.71,4351.91,0.78,0.28,6.49,6.61,20161101
603556,28.95,9334,37334,292752.94,234531.22,26280.3,35653.23,0.95,0.97,6.81,5.49,20161110
2216,91.55,57072.85,80421.75,344995.03,149516.52,124956.2,24689.99,0.31,0.085,2.41,4.29,20080220
595,0,24760.55,37244.01,123386.72,65371.61,21032.3,80939.9,2.17,-0.148,1.86,8.42,19960419
2346,585.33,7980,44157.53,226300.95,119589.97,42031.98,44081.5,1,0.027,3.72,5.71,20100128
703,32.74,115358.77,161987.44,2929723.5,1340146.25,834107.25,438220.06,2.71,0.39,6.49,2.09,19970328
2201,514.61,23947.13,25574.41,243000,73625.57,124561.2,44454.71,1.74,0.029,3.46,5.83,20071226
758,69.47,196913.45,196937.84,2231225.5,1470272.63,294819.03,92303.6,0.47,0.104,2.48,3.87,19970416
2679,0,13868,13868,161388.22,146697.48,2111.28,34162.59,2.46,-0.045,5.09,10.42,20120605
60,128.41,221145.34,221262.8,1639804.5,544390.81,482405.81,147347.17,0.67,0.074,3.44,3.69,19970123
878,341.98,141639.2,141639.88,2261304.5,1057247.5,711421.88,439830.41,3.11,0.031,3.96,3.62,19980602
630,257.69,956045.19,956064.38,4091179.25,1929518,1510598.88,72429.96,0.08,0.01,1.46,2.34,19961120
982,0,129393.21,180504.31,1263514.13,620393.75,463249.91,202861.23,1.12,-0.179,1.68,4.4,20000706
600595,50.81,151487.38,174154.05,2639337.5,674119.88,1155739.75,281379.34,1.62,0.1,2.83,2.38,20020626
603993,93.99,1295373.13,1688719.88,4478949.5,1722515.25,422571.09,1072030.63,0.63,0.035,1.06,4.1,20121009
300371,115.07,3551.13,12000,57537.46,35914.9,18071.73,18459,1.54,0.247,4.37,8.68,20140123
510,399.19,56343.35,60918.23,140416.44,31405.95,92559.03,4489.06,0.07,0.03,1.26,12.57,19930507
2143,68.39,22486.58,110614.63,332620.69,290917,1952.29,-1656.23,-0.01,0.358,1.74,18.76,20070720
928,24.45,41286.57,64256.21,1378923.5,1312580.75,4943.95,180205.22,2.8,0.574,4.99,3.75,19990312
960,335.33,120942.29,147205.5,2744483,835001,1153891.63,667175.81,4.53,0.038,5.3,3.24,20000221
300506,287.54,7500,30000,78306.06,63093.8,2270.63,2594.49,0.09,0.18,1.8,34.85,20160324
300549,160.88,1667,6667,61923.8,49988.6,9121.66,24063.86,3.61,0.66,6.27,16.93,20160930
600399,59.08,112962.28,130000,1260736.13,705136.88,345773.94,16257.42,0.13,0.102,1.54,5.18,20001229
2051,25.99,92033.89,92776.53,1885744.38,1349085.75,162843.95,182018.63,1.96,0.767,6.99,3.8,20060619
782,0,40319.26,52813.96,230458.91,111478.85,96321.59,63823.15,1.21,-0.066,2.31,4.83,19970619
300345,392.83,28054.52,44129.55,110990.75,69635.13,19694.14,24669.55,0.56,0.027,1.82,7.81,20120801
603,78.29,38714.07,72262.52,281391.06,132881.94,12866.25,135986.17,1.88,0.26,3.4,6.15,19960823
2685,349.09,56000,68944.28,168855.56,141760.72,15328.85,42696.3,0.62,0.023,1.87,5.78,20120612
600528,135.73,145920,145920,5709567.5,5249858,164524.31,159785.48,1.1,0.079,4.24,3.36,20010528
601600,460.15,1095983.25,1490379.88,19107902,6851866.5,7250991,1875607,1.26,0.007,2.53,1.75,20070430
2194,0,43724.3,56466.96,269552.28,202092.48,44100.15,82525.71,1.46,-0.013,3.88,4.86,20071207
626,38.04,40459.5,59863.44,1474902.88,1417237.38,6423.37,153529.59,2.56,0.628,4.75,6.72,19961128
2171,46.6,32497.05,44471.5,278466.13,156804.48,61474.55,88210.38,1.98,0.326,4.05,5,20070921
600428,309.47,169044.64,214665.06,2076836.38,433751.06,1370750.25,428154,1.99,0.015,4.3,1.48,20020418
600936,78,30000,167102.63,707051.38,266729.06,286343.41,110046.57,0.66,0.2,2.19,7.89,20160815
2628,324,68037.4,73741.63,563923.44,403112.41,5608.35,83869.86,1.14,0.022,3.56,2.7,20111103
601233,22.3,96360,123193.63,1831545.63,767976.81,889269.38,551843.38,4.48,0.52,8.49,1.59,20110518
822,67.61,89508.02,89509.2,341969.91,138942.92,157384.77,150483.25,1.68,0.074,2.61,2.57,19980703
300442,1595.55,5717.25,10000,134086.7,82647.05,20340.9,52063.42,5.21,0.024,9.62,5.4,20150424
2160,81.75,43471.23,72437.49,527892.5,248141.66,137328.25,217719.13,3.01,0.1,4.28,2.49,20070821
720,0,86345.89,86346,529253.5,95168.21,351711.78,29602.63,0.34,-0.051,1.04,7.11,19970509
2797,167.84,21900,218900,3428667.5,0,14076.19,391647.56,1.79,0.21,4.04,10.74,20160511
20,1248.08,18116.53,28316.11,60473.16,41527.46,10553.48,14658.72,0.52,0.016,1.12,23.73,19920428
300292,61.72,62403.87,127485.04,310356.78,101084.96,19356.39,85114.78,0.67,0.139,1.99,5.76,20120229
600782,24.92,278689.63,278689.63,2756121,1478673.38,1083162.5,567975,2.04,0.099,2.99,1.1,19961225
601699,234.61,299140.91,299140.91,5433995.5,1995746.25,1360444.75,143935.84,0.48,0.03,6.06,1.56,20060922
813,32.23,39248.83,134266.42,230791.63,176426.06,10546.88,12346.62,0.09,0.59,1.58,10.51,19980519
2706,47.88,7187.12,25884.69,186539.19,129691.05,29452.38,80993.95,3.13,0.53,5.71,5.68,20140121
603421,95.97,4340,43340,203748.47,155399.31,12327,53400.91,1.23,0.52,4.22,14.2,20161011
600155,0,41250,119234.47,2352259.25,1871050.38,24673.76,701816.31,5.89,-0.02,6.47,2.63,19980918
603806,25.99,9021,40200,522352.09,430069.69,67203.11,151183.09,3.76,1.523,11.44,4.61,20140905
825,21.71,569607.38,569624.75,7333644,1748176.25,4602481.5,680322,1.19,0.148,3.89,1.1,19981021
2522,179.35,61669.73,88328.21,197005.38,75766.21,66289.75,27619.49,0.31,0.084,1.61,12.53,20101210
300407,46.37,13493.01,27200,176017.69,147034.16,17278.06,12315.63,0.45,0.356,3.22,6.83,20141203
600367,118.25,29120,29120,163155.06,104051.13,34263.37,28521.06,0.98,0.097,3.62,4.23,20010320
601677,34.92,40770.23,51079.6,596693,371378.53,127975.86,218143.47,4.27,0.393,7.81,2.34,20110919
601118,0,393117.16,393117.16,1323052.13,558136.25,157485.52,378597.84,0.96,-0.07,1.96,3.73,20110107
603021,104.72,6396,12305.7,274050.09,100052.88,41927.94,80333.88,6.53,0.44,10.95,5.05,20150423
600459,102.99,26097.76,26097.76,343937.13,236458.55,60195.1,116742.17,4.47,0.218,6.99,4.29,20030516
2208,67.97,31923.91,32010,843143.19,835302.5,6591.3,29001.14,0.91,0.208,5,3.77,20080128
600523,51,28860.33,28879.38,375390.47,263414.78,64311.11,106676.8,3.69,0.35,7.48,3.24,20011227
603010,49.91,10480.04,25439.19,120223.72,53041.71,25038.03,47052.76,1.85,0.427,3.98,7.14,20141010
600540,0,46312.32,47092.32,311359.59,156800.34,72435.15,80475.07,1.71,-0.012,2.3,3.72,20040107
2428,0,64238.62,65312,206162.34,59487.93,97618.53,32796.55,0.5,-0.088,2.33,6.84,20100608
600456,0,43026.57,43026.57,689530.19,395478.5,262169.22,237071.52,5.51,-0.27,7.6,2.76,20020412
603067,97.96,5500,22000,128130.22,68429.88,53390.41,41171.1,1.87,0.44,4.73,9.18,20160913
2548,38.22,30935.93,38084.28,289206.13,117652.3,37467.25,90147.96,2.37,0.32,4.25,3.9,20110218
2493,23.77,203814.84,254400,4323463,1660110.75,1919234.75,497622.09,1.96,0.483,4.71,3.25,20101102
601618,19.6,1623900,1911000,36371188,29456896,2989350.5,1787449.25,0.94,0.16,3.26,1.41,20090921
426,108.99,96324.59,119388.9,446219.41,79239.13,130845.38,84317.49,0.71,0.081,2.35,5.02,19960828
300505,139.79,2335,9336,78615.05,43911.57,21036,27733.4,2.97,0.51,6.49,13.46,20160315
2340,82.43,233297.2,291086.97,1814793.38,885738.69,370582.19,281948.84,0.97,0.068,2.31,3.24,20100122
2110,17.38,53470,137361.5,1211280.13,524655.19,596607.88,459617.59,3.35,0.66,5.04,1.75,20070126
300321,121.69,8187.68,8880,66376.7,29378.1,28028.71,23806.32,2.68,0.261,6.39,6.62,20120523
300548,129.11,2067,8267,60985.95,50723.57,6990.81,22474.92,2.72,0.84,6.52,16.57,20161012
601015,109.05,44400,93000,974065.38,401650.75,352949.16,64488.21,0.69,0.076,2.79,3.98,20141105
2540,35.23,70454.46,104000,314213.5,181551.81,50343.5,71100.31,0.68,0.193,2.74,3.3,20110118
600965,68.06,38005.46,81870.09,254555.05,163812.52,49582.45,29767.09,0.36,0.18,2.1,7.79,20040713
750,25.42,421553.88,421554.19,4519417,0,17091.15,627598.13,1.49,0.232,3.28,2.4,19970709
300483,224.01,3193.19,6150,42323.1,31991.84,7296.72,19029.03,3.09,0.207,6.45,9.57,20150630
629,0,476729.66,858974.63,5697646,708438.13,2795694,562628.81,0.66,-0.141,0.86,3.16,19961115
600359,0,38151.28,38151.28,286254.84,119339.81,88471,93506.36,2.45,-0.306,1.83,5.61,19990429
933,10.48,189041.81,190050,5254043.5,1630903.38,2106560,195375.48,1.03,0.434,3.25,1.87,19990831
2637,62.49,23567.39,41680,505255.19,234614.59,197615.69,113352.27,2.72,0.23,4.78,3.16,20111125
968,0,51374.69,51374.69,1208926.75,142141.88,852099,58391.55,1.14,-1.426,-0.96,-11.41,20000622
600888,126.21,64122.58,64122.58,1010386,487163.59,382934.78,196366.56,3.06,0.051,5.04,1.71,19960215
686,21.42,209047.84,234045.3,7313631,0,72420.31,573251.44,2.45,0.52,6.63,2.13,19970227
2114,227.41,8620.66,27184.08,187647.3,54372.28,49721.34,70135.68,2.58,0.096,3.11,9.39,20070215
505,0,36044.53,42674.53,190550.19,131892.67,38508.12,33469.07,0.78,-0.213,-0.72,-15.55,19921221
